iter	Passed	Remaining
1157	16106	11711
1158	16121	11698
1159	16146	11692
1160	16160	11678
1161	16174	11664
1162	16187	11650
1163	16202	11636
1164	16216	11622
1165	16228	11607
1166	16242	11594
1167	16255	11579
1168	16270	11565
1169	16284	11552
1170	16297	11537
1171	16310	11523
1172	16323	11508
1173	16335	11493
1174	16347	11477
1175	16360	11463
1176	16374	11449
1177	16388	11435
1178	16404	11423
1179	16417	11408
1180	16432	11395
1181	16450	11384
1182	16464	11370
1183	16477	11356
1184	16491	11342
1185	16506	11328
1186	16519	11314
1187	16531	11299
1188	16543	11283
1189	16554	11268
1190	16569	11254
1191	16583	11241
1192	16598	11228
1193	16610	11212
1194	16623	11198
1195	16636	11183
1196	16650	11169
1197	16662	11154
1198	16676	11141
1199	16689	11126
1200	16702	11111
1201	16715	11097
1202	16727	11082
1203	16741	11068
1204	16752	11052
1205	16766	11038
1206	16779	11024
1207	16792	11009
1208	16805	10995
1209	16818	10980
1210	16833	10967
1211	16845	10952
1212	16860	10939
1213	16874	10925
1214	16889	10912
1215	16904	10898
1216	16918	10884
1217	16932	10871
1218	16945	10857
1219	16958	10842
1220	16976	10830
1221	16990	10816
1222	17002	10802
1223	17016	10788
1224	17030	10774
1225	17042	10759
1226	17054	10744
1227	17069	10730
1228	17082	10716
1229	17096	10702
1230	17109	10688
1231	17123	10674
1232	17133	10658
1233	17146	10643
1234	17158	10628
1235	17172	10614
1236	17184	10599
1237	17198	10585
1238	17212	10571
1239	17226	10558
1240	17238	10543
1241	17252	10529
1242	17265	10515
1243	17279	10501
1244	17292	10486
1245	17303	10471
1246	17316	10456
1247	17329	10442
1248	17342	10427
1249	17356	10413
1250	17369	10399
1251	17383	10385
1252	17397	10371
1253	17410	10357
1254	17423	10342
1255	17436	10328
1256	17449	10313
1257	17460	10298
1258	17473	10284
1259	17484	10268
1260	17497	10254
1261	17510	10240
1262	17523	10225
1263	17538	10212
1264	17553	10198
1265	17566	10184
1266	17580	10170
1267	17594	10156
1268	17607	10142
1269	17620	10128
1270	17634	10114
1271	17647	10100
1272	17662	10086
1273	17675	10072
1274	17687	10057
1275	17699	10042
1276	17708	10026
1277	17722	10011
1278	17737	9998
1279	17751	9985
1280	17766	9971
1281	17781	9958
1282	17796	9945
1283	17813	9933
1284	17827	9919
1285	17844	9907
1286	17859	9894
1287	17873	9880
1288	17886	9865
1289	17898	9851
1290	17912	9837
1291	17926	9823
1292	17938	9808
1293	17952	9794
1294	17964	9780
1295	17979	9766
1296	17990	9751
1297	17999	9734
1298	18009	9718
1299	18021	9703
1300	18034	9689
1301	18049	9676
1302	18063	9662
1303	18075	9647
1304	18089	9633
1305	18102	9619
1306	18116	9605
1307	18130	9591
1308	18142	9577
1309	18155	9563
1310	18168	9548
1311	18181	9534
1312	18194	9519
1313	18208	9505
1314	18221	9491
1315	18233	9477
1316	18247	9462
1317	18259	9448
1318	18272	9434
1319	18286	9420
1320	18299	9406
1321	18312	9391
1322	18325	9377
1323	18338	9363
1324	18351	9348
1325	18366	9335
1326	18378	9320
1327	18390	9305
1328	18401	9290
1329	18413	9275
1330	18425	9261
1331	18436	9246
1332	18448	9231
1333	18463	9217
1334	18475	9203
1335	18489	9189
1336	18502	9174
1337	18515	9160
1338	18527	9146
1339	18541	9132
1340	18554	9118
1341	18568	9104
1342	18583	9090
1343	18597	9077
1344	18610	9063
1345	18625	9049
1346	18639	9036
1347	18652	9021
1348	18667	9008
1349	18682	8995
