elapsed_ms,exg,label
24772,29889,rest
24792,32922,rest
24812,31912,rest
24832,30872,rest
24852,30461,rest
24872,31194,rest
24892,29787,rest
24912,29684,rest
24932,30154,rest
24952,30095,rest
24972,30286,rest
24992,30388,rest
25012,30124,rest
25032,31487,rest
25052,30520,rest
25072,29084,rest
25092,29816,rest
25112,29743,rest
25132,29904,rest
25152,27750,rest
25172,19003,rest
25192,6270,rest
25212,6490,rest
25232,10534,rest
25252,17933,rest
25272,27487,rest
25292,34168,rest
25349,38740,rest
25370,38447,rest
25390,38359,rest
25410,37905,rest
25430,36439,rest
25450,34930,rest
25470,34198,rest
25490,33890,rest
25510,32878,rest
25530,32307,rest
25550,32000,rest
25570,31179,rest
25590,31033,rest
25610,31121,rest
25630,31428,rest
25650,30872,rest
25670,30535,rest
25690,29743,rest
25710,28849,rest
25730,29171,rest
25750,29186,rest
25770,30051,rest
25791,28732,rest
25811,27208,rest
25831,22329,rest
25851,9655,rest
25871,1904,rest
25891,6109,rest
25911,13054,rest
25931,22299,rest
25951,31340,rest
25971,36278,rest
25991,39589,rest
26011,39033,rest
26031,39868,rest
26051,38007,rest
26071,37612,rest
26091,36336,rest
26111,35399,rest
26131,32966,rest
26151,33743,rest
26171,33069,rest
26191,33098,rest
26211,32322,rest
26231,31926,rest
26251,31457,rest
26271,30872,rest
26291,31238,rest
26311,30300,rest
26331,31457,rest
26351,30417,rest
26371,29801,rest
26391,28952,rest
26411,30051,rest
26431,28893,rest
26451,29728,rest
26471,30095,rest
26491,29801,rest
26511,30022,rest
26531,28791,rest
26554,31736,rest
26575,29845,rest
26595,30974,rest
26615,29655,rest
26635,30652,rest
26655,29523,rest
26675,29845,rest
26695,29918,rest
26715,29831,rest
26735,29567,rest
26755,29728,rest
26775,29845,rest
26795,31003,rest
26815,30022,rest
26835,29259,rest
26855,28058,rest
26875,25508,rest
26895,11090,rest
26915,4322,rest
26935,5684,rest
26955,13025,rest
26975,21728,rest
26995,31208,rest
27015,35956,rest
27035,39399,rest
27055,39223,rest
27075,39033,rest
27095,37656,rest
27115,38198,rest
27135,36542,rest
27155,35663,rest
27175,33978,rest
27195,33552,rest
27215,33362,rest
27235,33069,rest
27255,35458,rest
27275,32410,rest
27295,31370,rest
27315,32585,rest
27335,31033,rest
27355,31150,rest
27375,32234,rest
27395,31560,rest
27415,31428,rest
27435,29787,rest
27455,28014,rest
27475,22974,rest
27495,7413,rest
27515,4600,rest
27535,7369,rest
27555,14285,rest
27575,21801,rest
27595,31106,rest
27615,36029,rest
27635,39296,rest
27655,39311,rest
27675,39091,rest
27695,37934,rest
27715,38901,rest
27735,37788,rest
27755,36717,rest
27778,36102,rest
27799,34198,rest
27820,31223,rest
27840,31604,rest
27860,31692,rest
27880,32937,rest
27900,31912,rest
27920,31428,rest
27940,30271,rest
27960,30505,rest
27980,29845,rest
28000,29464,rest
28020,29303,rest
28040,29860,rest
28060,28966,rest
28080,29611,rest
28100,29728,rest
28120,28966,rest
28140,29113,rest
28160,29728,rest
28180,29655,rest
28200,29626,rest
28220,29347,rest
28240,30286,rest
28260,29435,rest
28280,29875,rest
28300,29098,rest
28320,29201,rest
28340,29127,rest
28360,27853,rest
28380,24820,rest
28400,9875,rest
28420,2827,rest
28440,5450,rest
28460,11267,rest
28480,17435,rest
28500,24542,rest
28520,31179,rest
28540,36175,rest
28560,39296,rest
28580,40351,rest
28603,39633,rest
28668,36996,rest
28689,35794,rest
28710,35165,rest
28730,34007,rest
28750,34110,rest
28770,33391,rest
28790,32703,rest
28810,32307,rest
28830,32219,rest
28850,31853,rest
28870,31912,rest
28890,31648,rest
28910,32000,rest
28930,30681,rest
28950,30476,rest
28970,29538,rest
28990,27208,rest
29010,17274,rest
29033,4322,rest
29054,6329,rest
29074,12659,rest
29094,20058,rest
29114,29611,rest
29134,35589,rest
29154,38095,rest
29174,40483,rest
29194,38769,rest
29214,38886,rest
29234,38520,rest
29254,36937,rest
29274,36820,rest
29294,35355,rest
29314,34754,rest
29334,34930,rest
29354,33171,rest
29374,32146,rest
29394,31912,rest
29414,31311,rest
29434,31384,rest
29454,31941,rest
29474,31121,rest
29494,30447,rest
29514,29875,rest
29534,30227,rest
29554,30037,rest
29574,30124,rest
29594,29933,rest
29614,30124,rest
29634,30300,rest
29654,30198,rest
29674,29318,rest
29695,29552,rest
29715,29948,rest
29735,30461,rest
29755,29743,rest
29775,29450,rest
29795,30168,rest
29815,29508,rest
29835,28981,rest
29855,28952,rest
29875,29391,rest
29895,30286,rest
29915,29435,rest
29935,30681,rest
29955,29098,rest
29975,29640,rest
29995,29845,rest
30015,28878,rest
30035,29611,rest
30055,27208,rest
30075,15194,rest
30095,5113,rest
30115,4380,rest
30135,12615,rest
30155,21406,rest
30175,31370,rest
30195,35809,rest
30215,38652,rest
30235,37934,rest
30291,38945,rest
30312,36996,rest
30333,37963,rest
30353,34857,rest
30373,34359,rest
30393,34784,rest
30413,32966,rest
30433,33684,rest
30453,30710,rest
30473,31941,rest
30493,26813,rest
30513,31575,rest
30533,26798,rest
30553,28058,rest
30573,31824,rest
30593,30007,rest
30613,26842,rest
30633,12556,rest
30653,4439,rest
30673,7105,rest
30693,14841,rest
30713,23868,rest
30733,32878,rest
30753,38476,rest
30773,40249,rest
30793,40058,rest
30813,38842,rest
30833,39003,rest
30853,37509,rest
30873,37333,rest
30893,35121,rest
30913,35370,rest
30933,33890,rest
30953,33993,rest
30973,32542,rest
30993,32878,rest
31013,30857,rest
31033,30916,rest
31053,30476,rest
31073,30549,rest
31093,30271,rest
31113,30271,rest
31133,30432,rest
31153,31033,rest
31173,30403,rest
31193,28761,rest
31213,29904,rest
31233,29435,rest
31253,30110,rest
31273,31633,rest
31293,32000,rest
31313,31472,rest
31333,31208,rest
31353,30330,rest
31373,31399,rest
31393,30330,rest
31413,30447,rest
31433,30447,rest
31453,28146,rest
31473,27091,rest
31496,28014,rest
31517,27428,rest
31537,27208,rest
31557,28249,rest
31577,22358,rest
31597,8263,rest
31617,3603,rest
31637,10402,rest
31657,20996,rest
31677,33025,rest
31697,35750,rest
31717,36629,rest
31737,36029,rest
31757,37245,rest
31777,35077,rest
