timestamp,emg1,emg2,emg3,label
2844654,3456,40793,41562,11
2844659,12114,40681,45483,11
2844664,6417,37945,42186,11
2844669,12242,37705,42298,11
2844674,9554,41434,42938,11
2844679,6913,44890,35464,11
2844684,8866,38921,40265,11
2844689,8418,39385,39273,11
2844694,7969,40857,40233,11
2844699,7073,42250,41306,11
2844704,13571,38953,41178,11
2844709,12018,38393,40473,11
2844714,8306,43034,41850,11
2844719,8594,43402,40521,11
2844724,4145,38041,42074,11
2844729,12307,38633,39561,11
2844734,6625,43418,36760,11
2844739,8738,40537,45979,11
2844744,7841,38761,43130,11
2844749,11858,38137,38857,11
2844754,7361,39817,45691,11
2844759,8994,38281,40537,11
2844764,10290,39081,34200,11
2844769,10434,36873,34600,11
2844776,10738,44522,43450,11
2844781,15075,40665,40073,11
2844786,8530,38217,39097,11
2844791,8898,41370,37433,11
2844796,11250,41994,45691,11
2844801,10162,41546,37689,11
2844806,8642,37065,38025,11
2844811,8706,40137,41562,11
2844816,8546,42634,43354,11
2844821,10386,40601,41498,11
2844826,7713,36873,39401,11
2844831,10002,40857,40873,11
2844836,10786,45243,37385,11
2844841,10802,41338,40841,11
2844846,10162,38137,38873,11
2844851,12226,39001,43002,11
2844856,10018,44618,36744,11
2844861,9954,39129,45915,11
2844866,8530,37177,37145,11
2844871,8930,39177,41802,11
2844876,10274,45002,42698,11
2844881,7729,41722,39737,11
2844886,9698,36680,38457,11
2844891,9778,37961,40697,11
2844896,5425,43322,42698,11
2844901,10610,40345,38505,11
2844906,14579,38217,39129,11
2844911,19188,38345,39305,11
2844916,13603,43722,42170,11
2844921,16868,37929,39673,11
2844926,9874,37353,36664,11
2844931,9314,39401,40217,11
2844936,11554,43130,43818,11
2844941,12867,44026,38585,11
2844946,7777,36264,37545,11
2844951,3856,39193,44634,11
2844993,3232,38857,40777,11
2844998,2832,42794,42506,11
2845003,2320,40729,41818,11
2845008,9906,36296,40537,11
2845013,4913,38121,41162,11
2845018,2192,46779,34344,11
2845023,11970,43450,42394,11
2845028,6657,35800,40473,11
2845033,10082,40905,44522,11
2845038,13507,46667,39417,11
2845043,3616,43018,34072,11
2845048,6289,37673,33928,11
2845053,5873,38713,40233,11
2845058,3552,43786,39145,11
2845063,1728,42074,42602,11
2845068,5233,35416,38825,11
2845073,3216,41770,39593,11
2845078,3264,41562,42698,11
2845083,3696,40825,35240,11
2845088,2736,37289,36824,11
